layer_idx,func,term,rho,pval,checkpoint
0,l2,F,0.8196480799426772,0.0,5000
0,l2,C,0.8196480799426772,0.0,5000
0,norm_ratio,I,,,5000
0,norm_ratio,S,,,5000
0,norm_ratio,T,,,5000
0,norm_ratio,F,,,5000
0,norm_ratio,C,,,5000
0,spim,I,0.008089256452899943,3.439800360484233e-06,5000
0,spim,S,,,5000
0,spim,T,,,5000
0,spim,F,,,5000
0,spim,C,,,5000
1,cosine,I,0.6277738180112029,0.0,5000
1,cosine,S,0.6370255900385842,0.0,5000
1,cosine,T,0.33945466799736934,0.0,5000
1,cosine,F,0.747347171968364,0.0,5000
1,cosine,C,0.5653850108878689,0.0,5000
1,l2,I,0.6435632820006474,0.0,5000
1,l2,S,0.606518991787594,0.0,5000
1,l2,T,0.3860240538761657,0.0,5000
1,l2,F,0.742997559389374,0.0,5000
1,l2,C,0.5309671829226275,0.0,5000
1,norm_ratio,I,0.7526601285280073,0.0,5000
1,norm_ratio,S,0.8401272213919959,0.0,5000
1,norm_ratio,T,0.7955632592719274,0.0,5000
1,norm_ratio,F,0.4375020809702747,0.0,5000
1,norm_ratio,C,0.5542905436209007,0.0,5000
1,spim,I,0.6749675176165668,0.0,5000
1,spim,S,0.7339248163239636,0.0,5000
1,spim,T,0.6050905357851497,0.0,5000
1,spim,F,0.6947631165231992,0.0,5000
