model1,model2,metric,component,layer0,layer1,layer2,layer3,layer4,layer5,layer6
sla-eng,mul-eng,l2,F,81.8202478614152,0.30547566916993585,0.30547566916993585,0.30547566916993585,0.30547566916993585,0.30547566916993585,0.30547566916993585
ine-eng,mul-eng,l2,F,77.72076595925309,-1.192329292374763,-1.192329292374763,-1.192329292374763,-1.192329292374763,-1.192329292374763,-1.192329292374763
s0-eng,s1-eng,l2,C,38.167377595802535,-1.3286332606239213,-1.3286332606239213,-1.3286332606239213,-1.3286332606239213,-1.3286332606239213,-1.3286332606239213
s0-eng,s2-eng,l2,C,40.34628082031788,-1.095953368750563,-1.095953368750563,-1.095953368750563,-1.095953368750563,-1.095953368750563,-1.095953368750563
s0-eng,sla-eng,l2,C,50.79499180235256,-0.23007245789708325,-0.23007245789708325,-0.23007245789708325,-0.23007245789708325,-0.23007245789708325,-0.23007245789708325
s0-eng,ine-eng,l2,C,62.85191525564152,-1.2316580131754815,-1.2316580131754815,-1.2316580131754815,-1.2316580131754815,-1.2316580131754815,-1.2316580131754815
s0-eng,mul-eng,l2,C,113.31572990018536,-1.2360616834388778,-1.2360616834388778,-1.2360616834388778,-1.2360616834388778,-1.2360616834388778,-1.2360616834388778
s1-eng,s2-eng,l2,C,78.74553376998135,-0.6842858359903593,-0.6842858359903593,-0.6842858359903593,-0.6842858359903593,-0.6842858359903593,-0.6842858359903593
s1-eng,sla-eng,l2,C,63.80311148488915,0.6454665955717195,0.6454665955717195,0.6454665955717195,0.6454665955717195,0.6454665955717195,0.6454665955717195
s1-eng,ine-eng,l2,C,70.18877925115976,-0.98916619256862,-0.98916619256862,-0.98916619256862,-0.98916619256862,-0.98916619256862,-0.98916619256862
s1-eng,mul-eng,l2,C,127.6203375597935,-0.5405880884110377,-0.5405880884110377,-0.5405880884110377,-0.5405880884110377,-0.5405880884110377,-0.5405880884110377
s2-eng,sla-eng,l2,C,57.7333940484036,-0.2618730002427313,-0.2618730002427313,-0.2618730002427313,-0.2618730002427313,-0.2618730002427313,-0.2618730002427313
s2-eng,ine-eng,l2,C,66.49222242098834,-0.9152988531605837,-0.9152988531605837,-0.9152988531605837,-0.9152988531605837,-0.9152988531605837,-0.9152988531605837
s2-eng,mul-eng,l2,C,95.05555859264952,-0.5218845604490683,-0.5218845604490683,-0.5218845604490683,-0.5218845604490683,-0.5218845604490683,-0.5218845604490683
sla-eng,ine-eng,l2,C,44.52487974921521,-0.7965002852126989,-0.7965002852126989,-0.7965002852126989,-0.7965002852126989,-0.7965002852126989,-0.7965002852126989
sla-eng,mul-eng,l2,C,81.8202478614152,-1.1924381985794954,-1.1924381985794954,-1.1924381985794954,-1.1924381985794954,-1.1924381985794954,-1.1924381985794954
ine-eng,mul-eng,l2,C,77.72076595925309,-1.0873819843787598,-1.0873819843787598,-1.0873819843787598,-1.0873819843787598,-1.0873819843787598,-1.0873819843787598
s0-eng,s1-eng,norm_ratio,I,,-0.05584663152721947,-0.05584663152721947,-0.05584663152721947,-0.05584663152721947,-0.05584663152721947,-0.05584663152721947
s0-eng,s2-eng,norm_ratio,I,,-1.2240487547463024,-1.2240487547463024,-1.2240487547463024,-1.2240487547463024,-1.2240487547463024,-1.2240487547463024
s0-eng,sla-eng,norm_ratio,I,,0.9139744210498104,0.9139744210498104,0.9139744210498104,0.9139744210498104,0.9139744210498104,0.9139744210498104
s0-eng,ine-eng,norm_ratio,I,,0.3681966272793421,0.3681966272793421,0.3681966272793421,0.3681966272793421,0.3681966272793421,0.3681966272793421
s0-eng,mul-eng,norm_ratio,I,,3.240956250463766,3.240956250463766,3.240956250463766,3.240956250463766,3.240956250463766,3.240956250463766
s1-eng,s2-eng,norm_ratio,I,,-0.24864969168227916,-0.24864969168227916,-0.24864969168227916,-0.24864969168227916,-0.24864969168227916,-0.24864969168227916
s1-eng,sla-eng,norm_ratio,I,,-0.21957296424523304,-0.21957296424523304,-0.21957296424523304,-0.21957296424523304,-0.21957296424523304,-0.21957296424523304
s1-eng,ine-eng,norm_ratio,I,,-0.4179445802523536,-0.4179445802523536,-0.4179445802523536,-0.4179445802523536,-0.4179445802523536,-0.4179445802523536
s1-eng,mul-eng,norm_ratio,I,,2.6637150563321788,2.6637150563321788,2.6637150563321788,2.6637150563321788,2.6637150563321788,2.6637150563321788
s2-eng,sla-eng,norm_ratio,I,,0.49640670156307487,0.49640670156307487,0.49640670156307487,0.49640670156307487,0.49640670156307487,0.49640670156307487
s2-eng,ine-eng,norm_ratio,I,,0.20190887046660508,0.20190887046660508,0.20190887046660508,0.20190887046660508,0.20190887046660508,0.20190887046660508
s2-eng,mul-eng,norm_ratio,I,,3.2356512165254805,3.2356512165254805,3.2356512165254805,3.2356512165254805,3.2356512165254805,3.2356512165254805
sla-eng,ine-eng,norm_ratio,I,,-0.4199107439126429,-0.4199107439126429,-0.4199107439126429,-0.4199107439126429,-0.4199107439126429,-0.4199107439126429
sla-eng,mul-eng,norm_ratio,I,,1.0589238308454396,1.0589238308454396,1.0589238308454396,1.0589238308454396,1.0589238308454396,1.0589238308454396
ine-eng,mul-eng,norm_ratio,I,,1.3715192818955957,1.3715192818955957,1.3715192818955957,1.3715192818955957,1.3715192818955957,1.3715192818955957
s0-eng,s1-eng,norm_ratio,S,,-0.6349588699710564,-0.6349588699710564,-0.6349588699710564,-0.6349588699710564,-0.6349588699710564,-0.6349588699710564
s0-eng,s2-eng,norm_ratio,S,,-1.0709538894068151,-1.0709538894068151,-1.0709538894068151,-1.0709538894068151,-1.0709538894068151,-1.0709538894068151
s0-eng,sla-eng,norm_ratio,S,,-0.31751296084127867,-0.31751296084127867,-0.31751296084127867,-0.31751296084127867,-0.31751296084127867,-0.31751296084127867
s0-eng,ine-eng,norm_ratio,S,,-0.6107508747222481,-0.6107508747222481,-0.6107508747222481,-0.6107508747222481,-0.6107508747222481,-0.6107508747222481
s0-eng,mul-eng,norm_ratio,S,,0.29149497609493896,0.29149497609493896,0.29149497609493896,0.29149497609493896,0.29149497609493896,0.29149497609493896
s1-eng,s2-eng,norm_ratio,S,,-0.6130210373450711,-0.6130210373450711,-0.6130210373450711,-0.6130210373450711,-0.6130210373450711,-0.6130210373450711
s1-eng,sla-eng,norm_ratio,S,,-0.012099627851790619,-0.012099627851790619,-0.012099627851790619,-0.012099627851790619,-0.012099627851790619,-0.012099627851790619
s1-eng,ine-eng,norm_ratio,S,,-0.3059510621473329,-0.3059510621473329,-0.3059510621473329,-0.3059510621473329,-0.3059510621473329,-0.3059510621473329
s1-eng,mul-eng,norm_ratio,S,,0.26930163478907027,0.26930163478907027,0.26930163478907027,0.26930163478907027,0.26930163478907027,0.26930163478907027
s2-eng,sla-eng,norm_ratio,S,,-0.045779315235301314,-0.045779315235301314,-0.045779315235301314,-0.045779315235301314,-0.045779315235301314,-0.045779315235301314
s2-eng,ine-eng,norm_ratio,S,,-0.5503688268279493,-0.5503688268279493,-0.5503688268279493,-0.5503688268279493,-0.5503688268279493,-0.5503688268279493
s2-eng,mul-eng,norm_ratio,S,,0.45943040735118457,0.45943040735118457,0.45943040735118457,0.45943040735118457,0.45943040735118457,0.45943040735118457
