model1,model2,metric,component,layer0,layer1,layer2,layer3,layer4,layer5,layer6
s2-eng,ine-eng,norm_ratio,S,,0.9488529417534577,0.9488529417534577,0.9488529417534577,0.9488529417534577,0.9488529417534577,0.9488529417534577
s2-eng,mul-eng,norm_ratio,S,,-0.3642057082583435,-0.3642057082583435,-0.3642057082583435,-0.3642057082583435,-0.3642057082583435,-0.3642057082583435
sla-eng,ine-eng,norm_ratio,S,,1.3131651152356898,1.3131651152356898,1.3131651152356898,1.3131651152356898,1.3131651152356898,1.3131651152356898
sla-eng,mul-eng,norm_ratio,S,,-0.09945121464179889,-0.09945121464179889,-0.09945121464179889,-0.09945121464179889,-0.09945121464179889,-0.09945121464179889
ine-eng,mul-eng,norm_ratio,S,,1.5588233577176307,1.5588233577176307,1.5588233577176307,1.5588233577176307,1.5588233577176307,1.5588233577176307
s0-eng,s1-eng,norm_ratio,T,,1.0761221890788137,1.0761221890788137,1.0761221890788137,1.0761221890788137,1.0761221890788137,1.0761221890788137
s0-eng,s2-eng,norm_ratio,T,,-0.660009816894714,-0.660009816894714,-0.660009816894714,-0.660009816894714,-0.660009816894714,-0.660009816894714
s0-eng,sla-eng,norm_ratio,T,,-1.262353677924352,-1.262353677924352,-1.262353677924352,-1.262353677924352,-1.262353677924352,-1.262353677924352
s0-eng,ine-eng,norm_ratio,T,,1.1646570673643948,1.1646570673643948,1.1646570673643948,1.1646570673643948,1.1646570673643948,1.1646570673643948
s0-eng,mul-eng,norm_ratio,T,,-0.9340360256314898,-0.9340360256314898,-0.9340360256314898,-0.9340360256314898,-0.9340360256314898,-0.9340360256314898
s1-eng,s2-eng,norm_ratio,T,,-0.5081224992284884,-0.5081224992284884,-0.5081224992284884,-0.5081224992284884,-0.5081224992284884,-0.5081224992284884
s1-eng,sla-eng,norm_ratio,T,,1.1178906978908345,1.1178906978908345,1.1178906978908345,1.1178906978908345,1.1178906978908345,1.1178906978908345
s1-eng,ine-eng,norm_ratio,T,,-0.5723622968318283,-0.5723622968318283,-0.5723622968318283,-0.5723622968318283,-0.5723622968318283,-0.5723622968318283
s1-eng,mul-eng,norm_ratio,T,,0.7497515849656966,0.7497515849656966,0.7497515849656966,0.7497515849656966,0.7497515849656966,0.7497515849656966
s2-eng,sla-eng,norm_ratio,T,,-0.7396890685651678,-0.7396890685651678,-0.7396890685651678,-0.7396890685651678,-0.7396890685651678,-0.7396890685651678
s2-eng,ine-eng,norm_ratio,T,,-0.16561166570754707,-0.16561166570754707,-0.16561166570754707,-0.16561166570754707,-0.16561166570754707,-0.16561166570754707
s2-eng,mul-eng,norm_ratio,T,,-0.9206620956467719,-0.9206620956467719,-0.9206620956467719,-0.9206620956467719,-0.9206620956467719,-0.9206620956467719
sla-eng,ine-eng,norm_ratio,T,,1.0149278571499052,1.0149278571499052,1.0149278571499052,1.0149278571499052,1.0149278571499052,1.0149278571499052
sla-eng,mul-eng,norm_ratio,T,,-1.253178695877306,-1.253178695877306,-1.253178695877306,-1.253178695877306,-1.253178695877306,-1.253178695877306
